Offence,Section,Act,Definition,Points to Prove,CJS Code,Maximum Penalty,Charging Authority,Relevant Case Law,Notes,Category
Theft variation 31,32,Theft Act 1968,Dishonestly appropriates property in specific circumstances 31,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1999032,7 years imprisonment,CPS,R v Example31 [1982] QB 31,Specific theft circumstances 31,Theft
Assault variation 32,33,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 32,"1. Assault, 2. Unlawfully, 3. Another person",AS2000033,5 years imprisonment,CPS,R v Example32 [1976] 1 WLR 32,Specific assault type 32,Assault
Drug offence variation 33,34,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 33,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2001034,14 years imprisonment,CPS,R v Example33 [1986] 82 Cr App R 33,Drug-related conduct 33,Drugs
Traffic offence variation 34,35,Road Traffic Act 1988,Contravenes road traffic regulations 34,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2002035,6 months imprisonment,Police,R v Example34 [1987] RTR 34,Road traffic violation 34,Traffic
Public order offence 35,36,Public Order Act 1986,Disrupts public order in specific manner 35,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2003036,6 months imprisonment,Police,R v Example35 [1987] QB 35,Public disorder 35,Public Order
Cybercrime offence 36,37,Computer Misuse Act 1990,Unlawfully uses computer systems 36,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2004037,10 years imprisonment,CPS,R v Example36 [2000] 2 AC 36,Digital crime 36,Cybercrime
Financial crime 37,38,Fraud Act 2006,Dishonestly obtains financial advantage 37,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2005038,10 years imprisonment,CPS,R v Example37 [2012] EWCA Crim 37,Economic offence 37,Financial Crime
Terrorism offence 38,39,Terrorism Act 2000,Engages in terrorist-related activity 38,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2006039,14 years imprisonment,CPS,R v Example38 [2007] EWCA Crim 38,National security threat 38,Terrorism
Environmental crime 39,40,Environmental Protection Act 1990,Causes environmental damage 39,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2007040,5 years imprisonment,Environment Agency,R v Example39 [1996] Env LR 39,Environmental damage 39,Environmental
Corporate offence 40,41,Companies Act 2006,Fails to comply with corporate duties 40,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC2008041,2 years imprisonment,CPS,R v Example40 [1989] 1 WLR 40,Corporate compliance 40,Corporate Crime
Theft variation 41,42,Theft Act 1968,Dishonestly appropriates property in specific circumstances 41,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH2009042,7 years imprisonment,CPS,R v Example41 [1982] QB 41,Specific theft circumstances 41,Theft
Assault variation 42,43,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 42,"1. Assault, 2. Unlawfully, 3. Another person",AS2010043,5 years imprisonment,CPS,R v Example42 [1976] 1 WLR 42,Specific assault type 42,Assault
Drug offence variation 43,44,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 43,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2011044,14 years imprisonment,CPS,R v Example43 [1986] 82 Cr App R 43,Drug-related conduct 43,Drugs
Traffic offence variation 44,45,Road Traffic Act 1988,Contravenes road traffic regulations 44,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2012045,6 months imprisonment,Police,R v Example44 [1987] RTR 44,Road traffic violation 44,Traffic
Public order offence 45,46,Public Order Act 1986,Disrupts public order in specific manner 45,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2013046,6 months imprisonment,Police,R v Example45 [1987] QB 45,Public disorder 45,Public Order
Cybercrime offence 46,47,Computer Misuse Act 1990,Unlawfully uses computer systems 46,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2014047,10 years imprisonment,CPS,R v Example46 [2000] 2 AC 46,Digital crime 46,Cybercrime
Financial crime 47,48,Fraud Act 2006,Dishonestly obtains financial advantage 47,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2015048,10 years imprisonment,CPS,R v Example47 [2012] EWCA Crim 47,Economic offence 47,Financial Crime
Terrorism offence 48,49,Terrorism Act 2000,Engages in terrorist-related activity 48,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2016049,14 years imprisonment,CPS,R v Example48 [2007] EWCA Crim 48,National security threat 48,Terrorism
Environmental crime 49,50,Environmental Protection Act 1990,Causes environmental damage 49,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2017050,5 years imprisonment,Environment Agency,R v Example49 [1996] Env LR 49,Environmental damage 49,Environmental
Corporate offence 50,51,Companies Act 2006,Fails to comply with corporate duties 50,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1968051,2 years imprisonment,CPS,R v Example50 [1989] 1 WLR 50,Corporate compliance 50,Corporate Crime
Theft variation 51,52,Theft Act 1968,Dishonestly appropriates property in specific circumstances 51,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1969052,7 years imprisonment,CPS,R v Example51 [1982] QB 51,Specific theft circumstances 51,Theft
Assault variation 52,53,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 52,"1. Assault, 2. Unlawfully, 3. Another person",AS1970053,5 years imprisonment,CPS,R v Example52 [1976] 1 WLR 52,Specific assault type 52,Assault
Drug offence variation 53,54,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 53,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1971054,14 years imprisonment,CPS,R v Example53 [1986] 82 Cr App R 53,Drug-related conduct 53,Drugs
Traffic offence variation 54,55,Road Traffic Act 1988,Contravenes road traffic regulations 54,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1972055,6 months imprisonment,Police,R v Example54 [1987] RTR 54,Road traffic violation 54,Traffic
Public order offence 55,56,Public Order Act 1986,Disrupts public order in specific manner 55,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1973056,6 months imprisonment,Police,R v Example55 [1987] QB 55,Public disorder 55,Public Order
Cybercrime offence 56,57,Computer Misuse Act 1990,Unlawfully uses computer systems 56,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1974057,10 years imprisonment,CPS,R v Example56 [2000] 2 AC 56,Digital crime 56,Cybercrime
Financial crime 57,58,Fraud Act 2006,Dishonestly obtains financial advantage 57,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1975058,10 years imprisonment,CPS,R v Example57 [2012] EWCA Crim 57,Economic offence 57,Financial Crime
Terrorism offence 58,59,Terrorism Act 2000,Engages in terrorist-related activity 58,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1976059,14 years imprisonment,CPS,R v Example58 [2007] EWCA Crim 58,National security threat 58,Terrorism
Environmental crime 59,60,Environmental Protection Act 1990,Causes environmental damage 59,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1977060,5 years imprisonment,Environment Agency,R v Example59 [1996] Env LR 59,Environmental damage 59,Environmental
Corporate offence 60,61,Companies Act 2006,Fails to comply with corporate duties 60,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1978061,2 years imprisonment,CPS,R v Example60 [1989] 1 WLR 60,Corporate compliance 60,Corporate Crime
Theft variation 61,62,Theft Act 1968,Dishonestly appropriates property in specific circumstances 61,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1979062,7 years imprisonment,CPS,R v Example61 [1982] QB 61,Specific theft circumstances 61,Theft
Assault variation 62,63,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 62,"1. Assault, 2. Unlawfully, 3. Another person",AS1980063,5 years imprisonment,CPS,R v Example62 [1976] 1 WLR 62,Specific assault type 62,Assault
Drug offence variation 63,64,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 63,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1981064,14 years imprisonment,CPS,R v Example63 [1986] 82 Cr App R 63,Drug-related conduct 63,Drugs
Traffic offence variation 64,65,Road Traffic Act 1988,Contravenes road traffic regulations 64,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1982065,6 months imprisonment,Police,R v Example64 [1987] RTR 64,Road traffic violation 64,Traffic
Public order offence 65,66,Public Order Act 1986,Disrupts public order in specific manner 65,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1983066,6 months imprisonment,Police,R v Example65 [1987] QB 65,Public disorder 65,Public Order
Cybercrime offence 66,67,Computer Misuse Act 1990,Unlawfully uses computer systems 66,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1984067,10 years imprisonment,CPS,R v Example66 [2000] 2 AC 66,Digital crime 66,Cybercrime
Financial crime 67,68,Fraud Act 2006,Dishonestly obtains financial advantage 67,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1985068,10 years imprisonment,CPS,R v Example67 [2012] EWCA Crim 67,Economic offence 67,Financial Crime
Terrorism offence 68,69,Terrorism Act 2000,Engages in terrorist-related activity 68,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1986069,14 years imprisonment,CPS,R v Example68 [2007] EWCA Crim 68,National security threat 68,Terrorism
Environmental crime 69,70,Environmental Protection Act 1990,Causes environmental damage 69,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1987070,5 years imprisonment,Environment Agency,R v Example69 [1996] Env LR 69,Environmental damage 69,Environmental
Corporate offence 70,71,Companies Act 2006,Fails to comply with corporate duties 70,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1988071,2 years imprisonment,CPS,R v Example70 [1989] 1 WLR 70,Corporate compliance 70,Corporate Crime
Theft variation 71,72,Theft Act 1968,Dishonestly appropriates property in specific circumstances 71,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1989072,7 years imprisonment,CPS,R v Example71 [1982] QB 71,Specific theft circumstances 71,Theft
Assault variation 72,73,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 72,"1. Assault, 2. Unlawfully, 3. Another person",AS1990073,5 years imprisonment,CPS,R v Example72 [1976] 1 WLR 72,Specific assault type 72,Assault
Drug offence variation 73,74,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 73,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1991074,14 years imprisonment,CPS,R v Example73 [1986] 82 Cr App R 73,Drug-related conduct 73,Drugs
Traffic offence variation 74,75,Road Traffic Act 1988,Contravenes road traffic regulations 74,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1992075,6 months imprisonment,Police,R v Example74 [1987] RTR 74,Road traffic violation 74,Traffic
Public order offence 75,76,Public Order Act 1986,Disrupts public order in specific manner 75,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1993076,6 months imprisonment,Police,R v Example75 [1987] QB 75,Public disorder 75,Public Order
Cybercrime offence 76,77,Computer Misuse Act 1990,Unlawfully uses computer systems 76,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1994077,10 years imprisonment,CPS,R v Example76 [2000] 2 AC 76,Digital crime 76,Cybercrime
Financial crime 77,78,Fraud Act 2006,Dishonestly obtains financial advantage 77,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1995078,10 years imprisonment,CPS,R v Example77 [2012] EWCA Crim 77,Economic offence 77,Financial Crime
Terrorism offence 78,79,Terrorism Act 2000,Engages in terrorist-related activity 78,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1996079,14 years imprisonment,CPS,R v Example78 [2007] EWCA Crim 78,National security threat 78,Terrorism
Environmental crime 79,80,Environmental Protection Act 1990,Causes environmental damage 79,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1997080,5 years imprisonment,Environment Agency,R v Example79 [1996] Env LR 79,Environmental damage 79,Environmental
Corporate offence 80,81,Companies Act 2006,Fails to comply with corporate duties 80,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1998081,2 years imprisonment,CPS,R v Example80 [1989] 1 WLR 80,Corporate compliance 80,Corporate Crime
Theft variation 81,82,Theft Act 1968,Dishonestly appropriates property in specific circumstances 81,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1999082,7 years imprisonment,CPS,R v Example81 [1982] QB 81,Specific theft circumstances 81,Theft
Assault variation 82,83,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 82,"1. Assault, 2. Unlawfully, 3. Another person",AS2000083,5 years imprisonment,CPS,R v Example82 [1976] 1 WLR 82,Specific assault type 82,Assault
Drug offence variation 83,84,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 83,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2001084,14 years imprisonment,CPS,R v Example83 [1986] 82 Cr App R 83,Drug-related conduct 83,Drugs
Traffic offence variation 84,85,Road Traffic Act 1988,Contravenes road traffic regulations 84,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2002085,6 months imprisonment,Police,R v Example84 [1987] RTR 84,Road traffic violation 84,Traffic
Public order offence 85,86,Public Order Act 1986,Disrupts public order in specific manner 85,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2003086,6 months imprisonment,Police,R v Example85 [1987] QB 85,Public disorder 85,Public Order
Cybercrime offence 86,87,Computer Misuse Act 1990,Unlawfully uses computer systems 86,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2004087,10 years imprisonment,CPS,R v Example86 [2000] 2 AC 86,Digital crime 86,Cybercrime
Financial crime 87,88,Fraud Act 2006,Dishonestly obtains financial advantage 87,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2005088,10 years imprisonment,CPS,R v Example87 [2012] EWCA Crim 87,Economic offence 87,Financial Crime
Terrorism offence 88,89,Terrorism Act 2000,Engages in terrorist-related activity 88,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2006089,14 years imprisonment,CPS,R v Example88 [2007] EWCA Crim 88,National security threat 88,Terrorism
Environmental crime 89,90,Environmental Protection Act 1990,Causes environmental damage 89,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2007090,5 years imprisonment,Environment Agency,R v Example89 [1996] Env LR 89,Environmental damage 89,Environmental
Corporate offence 90,91,Companies Act 2006,Fails to comply with corporate duties 90,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC2008091,2 years imprisonment,CPS,R v Example90 [1989] 1 WLR 90,Corporate compliance 90,Corporate Crime
Theft variation 91,92,Theft Act 1968,Dishonestly appropriates property in specific circumstances 91,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH2009092,7 years imprisonment,CPS,R v Example91 [1982] QB 91,Specific theft circumstances 91,Theft
Assault variation 92,93,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 92,"1. Assault, 2. Unlawfully, 3. Another person",AS2010093,5 years imprisonment,CPS,R v Example92 [1976] 1 WLR 92,Specific assault type 92,Assault
Drug offence variation 93,94,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 93,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2011094,14 years imprisonment,CPS,R v Example93 [1986] 82 Cr App R 93,Drug-related conduct 93,Drugs
Traffic offence variation 94,95,Road Traffic Act 1988,Contravenes road traffic regulations 94,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2012095,6 months imprisonment,Police,R v Example94 [1987] RTR 94,Road traffic violation 94,Traffic
Public order offence 95,96,Public Order Act 1986,Disrupts public order in specific manner 95,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2013096,6 months imprisonment,Police,R v Example95 [1987] QB 95,Public disorder 95,Public Order
Cybercrime offence 96,97,Computer Misuse Act 1990,Unlawfully uses computer systems 96,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2014097,10 years imprisonment,CPS,R v Example96 [2000] 2 AC 96,Digital crime 96,Cybercrime
Financial crime 97,98,Fraud Act 2006,Dishonestly obtains financial advantage 97,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2015098,10 years imprisonment,CPS,R v Example97 [2012] EWCA Crim 97,Economic offence 97,Financial Crime
Terrorism offence 98,99,Terrorism Act 2000,Engages in terrorist-related activity 98,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2016099,14 years imprisonment,CPS,R v Example98 [2007] EWCA Crim 98,National security threat 98,Terrorism
Environmental crime 99,100,Environmental Protection Act 1990,Causes environmental damage 99,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2017100,5 years imprisonment,Environment Agency,R v Example99 [1996] Env LR 99,Environmental damage 99,Environmental
Corporate offence 100,1,Companies Act 2006,Fails to comply with corporate duties 100,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1968001,2 years imprisonment,CPS,R v Example100 [1989] 1 WLR 100,Corporate compliance 100,Corporate Crime
Theft variation 101,2,Theft Act 1968,Dishonestly appropriates property in specific circumstances 101,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1969002,7 years imprisonment,CPS,R v Example101 [1982] QB 101,Specific theft circumstances 101,Theft
Assault variation 102,3,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 102,"1. Assault, 2. Unlawfully, 3. Another person",AS1970003,5 years imprisonment,CPS,R v Example102 [1976] 1 WLR 102,Specific assault type 102,Assault
Drug offence variation 103,4,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 103,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1971004,14 years imprisonment,CPS,R v Example103 [1986] 82 Cr App R 103,Drug-related conduct 103,Drugs
Traffic offence variation 104,5,Road Traffic Act 1988,Contravenes road traffic regulations 104,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1972005,6 months imprisonment,Police,R v Example104 [1987] RTR 104,Road traffic violation 104,Traffic
Public order offence 105,6,Public Order Act 1986,Disrupts public order in specific manner 105,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1973006,6 months imprisonment,Police,R v Example105 [1987] QB 105,Public disorder 105,Public Order
Cybercrime offence 106,7,Computer Misuse Act 1990,Unlawfully uses computer systems 106,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1974007,10 years imprisonment,CPS,R v Example106 [2000] 2 AC 106,Digital crime 106,Cybercrime
Financial crime 107,8,Fraud Act 2006,Dishonestly obtains financial advantage 107,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1975008,10 years imprisonment,CPS,R v Example107 [2012] EWCA Crim 107,Economic offence 107,Financial Crime
Terrorism offence 108,9,Terrorism Act 2000,Engages in terrorist-related activity 108,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1976009,14 years imprisonment,CPS,R v Example108 [2007] EWCA Crim 108,National security threat 108,Terrorism
Environmental crime 109,10,Environmental Protection Act 1990,Causes environmental damage 109,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1977010,5 years imprisonment,Environment Agency,R v Example109 [1996] Env LR 109,Environmental damage 109,Environmental
Corporate offence 110,11,Companies Act 2006,Fails to comply with corporate duties 110,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1978011,2 years imprisonment,CPS,R v Example110 [1989] 1 WLR 110,Corporate compliance 110,Corporate Crime
Theft variation 111,12,Theft Act 1968,Dishonestly appropriates property in specific circumstances 111,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1979012,7 years imprisonment,CPS,R v Example111 [1982] QB 111,Specific theft circumstances 111,Theft
Assault variation 112,13,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 112,"1. Assault, 2. Unlawfully, 3. Another person",AS1980013,5 years imprisonment,CPS,R v Example112 [1976] 1 WLR 112,Specific assault type 112,Assault
Drug offence variation 113,14,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 113,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1981014,14 years imprisonment,CPS,R v Example113 [1986] 82 Cr App R 113,Drug-related conduct 113,Drugs
